ARKK
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
DASH	DOORDASH INC - A	1.14%	26,120	$5,915,657.60
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.04%	17,725	$5,386,450.25
HON	HONEYWELL INTERNATIONAL INC	1.03%	27,407	$5,346,831.63
AIR	AIRBUS SE	1.02%	22,634	$5,277,329.95
DSY FP	DASSAULT SYSTEMES SE	1.02%	188,577	$5,283,311.80
2618	JD LOGISTICS INC	0.92%	3,251,025	$4,770,414.57
PRNT	THE 3D PRINTING ETF	0.59%	135,556	$3,028,321.04
LMT	LOCKHEED MARTIN CORP	0.57%	6,123	$2,961,511.41

--------------------------

PRNT
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
XRAY UW	DENTSPLY SIRONA INC	5.33%	291,175	$3,630,952.25
SIE	SIEMENS AG-REG	5.27%	11,811	$3,588,254.69
ADSK	AUTODESK INC	5.04%	13,588	$3,435,997.56
PTC	PTC INC	4.89%	21,352	$3,333,687.76
DSY FP	DASSAULT SYSTEMES SE	4.83%	119,488	$3,288,777.50
SNPS	SYNOPSYS INC	4.44%	6,502	$3,024,177.73
7731	NIKON CORP	4.33%	235,298	$2,950,347.43
TTT	TITOMIC LTD	4.11%	16,102,919	$2,803,315.84
NNDM	NANO DIMENSION LTD - ADR	4.04%	1,545,799	$2,751,522.22
RSW	RENISHAW PLC	4.03%	52,743	$2,742,483.00
MTLS	MATERIALISE NV-ADR	3.92%	485,012	$2,672,416.12
PRLB	PROTO LABS INC	3.86%	49,888	$2,626,603.20
STMN SE	STRAUMANN HOLDING AG-REG	3.86%	21,855	$2,632,042.56
SSYS	STRATASYS LTD	3.85%	245,211	$2,623,757.70
HPQ	HP INC	3.82%	133,990	$2,604,765.60
BICO	BICO GROUP AB	3.80%	1,337,739	$2,590,625.62
XMTR	XOMETRY INC-A	3.69%	43,985	$2,512,863.05
DDD	3D SYSTEMS CORP	3.28%	999,010	$2,237,782.40
VELO UR	VELO3D INC	2.49%	128,690	$1,694,847.30
ML	MICHELIN (CGDE)	2.05%	37,561	$1,395,798.34
MOG/A	MOOG INC-CLASS A	2.03%	4,524	$1,381,403.40
LECO	LINCOLN ELECTRIC HOLDINGS	1.96%	5,030	$1,334,710.50
OERL	OC OERLIKON CORP AG-REG	1.96%	291,869	$1,336,545.19
LHX	L3HARRIS TECHNOLOGIES INC	1.92%	3,811	$1,306,601.35
KALU	KAISER ALUMINUM CORP	1.85%	10,272	$1,259,552.64
GE	GENERAL ELECTRIC	1.83%	4,063	$1,246,487.77
AME	AMETEK INC	1.82%	5,536	$1,239,953.28
HEXAB S	HEXAGON AB-B SHS	1.70%	102,796	$1,160,962.96
ALGN	ALIGN TECHNOLOGY INC	1.66%	6,941	$1,131,591.23
SGL	SGL CARBON SE	0.16%	22,815	$111,014.99
SAND	SANDVIK AB	0.15%	2,595	$102,459.89
AVNT	AVIENT CORP	0.14%	2,574	$93,050.10
DWL	DOWLAIS GROUP PLC	0.14%	73,567	$93,719.13
HEN3	HENKEL AG & CO KGAA VOR-PREF	0.14%	1,103	$96,960.14
KMT	KENNAMETAL INC	0.14%	2,682	$92,233.98
3402	TORAY INDUSTRIES INC	0.14%	12,939	$95,186.43
AKE	ARKEMA	0.13%	1,486	$89,569.01
ATI	ATI INC	0.13%	739	$88,901.70
CRS	CARPENTER TECHNOLOGY	0.13%	273	$86,767.59
EVK	EVONIK INDUSTRIES AG	0.13%	5,894	$91,522.82
JBL	JABIL INC	0.13%	367	$87,048.73
MTRN	MATERION CORP	0.13%	621	$85,871.88
VOE	VOESTALPINE AG	0.13%	1,938	$91,888.62
MMM	3M CO	0.12%	542	$83,012.72

--------------------------

IZRL
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
ASHO	ASHOT -ASHKELON INDUSTRIES	1.84%	64,941	$2,560,221.38
BEZQ	BEZEQ THE ISRAELI TELECOM CO	1.78%	963,930	$2,482,555.51
INMD	INMODE LTD	1.78%	157,726	$2,477,875.46
GILT	GILAT SATELLITE NETWORKS LTD	1.76%	126,911	$2,448,113.19
PCBT	P.C.B TECHNOLOGIES LTD	1.76%	468,589	$2,450,543.67
TSEM	TOWER SEMICONDUCTOR LTD	1.75%	18,090	$2,437,265.70
RPOL	RP OPTICAL LAB LTD	1.72%	194,076	$2,396,170.06
ARYT	ARYT INDUSTRIES LTD	1.71%	120,163	$2,380,271.39
MDWD UQ	MEDIWOUND LTD	1.69%	129,961	$2,356,192.93
QLTU	QUALITAU LTD	1.69%	10,801	$2,352,096.20
NVMI	NOVA LTD	1.67%	5,082	$2,326,742.88
TEVA	TEVA PHARMACEUTICAL-SP ADR	1.67%	68,279	$2,326,948.32
WIX	WIX.COM LTD	1.66%	26,621	$2,311,767.64
DANE	DANEL (ADIR YEOSHUA) LTD	1.64%	14,992	$2,288,230.99
PTNR	PARTNER COMMUNICATIONS CO	1.64%	187,982	$2,290,607.05
URGN UQ	UROGEN PHARMA LTD	1.63%	115,545	$2,265,837.45
BWAY	BRAINSWAY LTD-ADR	1.62%	96,843	$2,264,189.34
CEL	CELLCOM ISRAEL LTD	1.62%	188,584	$2,251,095.45
ISRO	ISROTEL LTD	1.62%	40,546	$2,262,983.89
ITRN	ITURAN LOCATION AND CONTROL	1.62%	50,525	$2,254,930.75
KMDA	KAMADA LTD	1.62%	269,557	$2,262,795.20
CAMT	CAMTEK LTD	1.61%	15,354	$2,249,821.62
ESLT	ELBIT SYSTEMS LTD	1.61%	3,157	$2,238,667.59
PLTK	PLAYTIKA HOLDING CORP	1.59%	614,004	$2,222,694.48
RDWR	RADWARE LTD	1.59%	91,580	$2,211,657.00
AMAL	AMAL HOLDINGS	1.58%	347,360	$2,206,545.38
BSEN	BET SHEMESH ENGINES HOLDINGS	1.58%	8,684	$2,196,459.60
ORBI	ORBIT TECHNOLOGIES LTD	1.57%	166,082	$2,193,601.56
CGNT	COGNYTE SOFTWARE LTD	1.56%	240,953	$2,175,805.59
